customer_id,family_type,number_people,financial_wealth,favorite_kind_cheese,avg_cheese_consumption,stop_eating_cheese,switching_another_cheese,basic_retailer,significant_price_change,looking_cheese,sensitivity_marketing_campaign
1,одиночка,1,низкий,сыр твердый,15,нет,да,A1,7.5,да,да
2,одиночка,1,низкий,продукты сырные,15,да,да,A3,5.0,да,да
3,одиночка,1,средний,сыр полутвердый,15,да,нет,A4,7.5,да,да
4,одиночка,1,средний,сыр полутвердый,15,да,нет,A2,10.0,нет,да
5,одиночка,1,низкий,прочие сыры,15,нет,нет,A3,20.0,нет,да
6,одиночка,1,средний,продукты сырные,15,нет,да,A2,5.0,да,да
7,одиночка,1,низкий,сыр мягкий,15,да,нет,A3,7.5,да,нет
8,одиночка,1,низкий,прочие сыры,15,да,да,A4,7.5,да,нет
9,одиночка,1,низкий,сыр полутвердый,15,да,да,A2,10.0,да,да
10,одиночка,1,низкий,сыр твердый,15,нет,нет,A4,20.0,да,нет
11,одиночка,1,низкий,сыр мягкий,15,да,нет,A4,5.0,да,да
12,одиночка,1,низкий,продукты сырные,15,да,нет,A2,10.0,да,да
13,одиночка,1,низкий,продукты сырные,15,нет,нет,A3,10.0,да,да
14,одиночка,1,высокий,сыр полутвердый,15,да,да,A4,5.0,да,да
15,одиночка,1,низкий,сыр мягкий,15,да,да,A5,7.5,да,нет
16,одиночка,1,высокий,сыр твердый,15,нет,нет,A2,15.0,да,да
17,одиночка,1,низкий,прочие сыры,15,да,нет,A4,10.0,да,да
18,одиночка,1,низкий,сыр мягкий,15,да,нет,A1,15.0,да,да
19,одиночка,1,высокий,сыр полутвердый,15,нет,да,A1,10.0,нет,да
20,одиночка,1,средний,сыр полутвердый,15,да,да,A1,5.0,да,нет
21,одиночка,1,средний,сыр полутвердый,15,нет,нет,A1,20.0,нет,нет
22,одиночка,1,низкий,сыр полутвердый,15,да,нет,A2,20.0,нет,да
23,одиночка,1,низкий,сыр твердый,15,да,да,A1,5.0,нет,да
24,одиночка,1,низкий,прочие сыры,15,нет,да,A2,10.0,нет,нет
25,одиночка,1,низкий,сыр твердый,15,да,да,A4,15.0,да,да
26,одиночка,1,низкий,продукты сырные,15,нет,да,A2,20.0,нет,да
27,одиночка,1,низкий,продукты сырные,15,да,нет,A4,10.0,да,да
28,одиночка,1,низкий,сыр полутвердый,15,нет,да,A4,10.0,да,нет
29,одиночка,1,низкий,сыр мягкий,15,да,да,A1,7.5,да,да
