"date","model","retailer","customer_id","kind_cheese","quantity","price"
"2019-12-31",1,"A1",1,"сыр полутвердый",450,600
"2019-12-31",1,"A2",2,"продукты сырные",50,400
"2019-12-31",1,"A2",3,"сыр твердый",350,1000
"2019-12-31",1,"A1",4,"сыр мягкий",150,500
"2019-12-31",1,"A3",5,"прочие сыры",400,700
"2019-12-31",1,"A1",6,"прочие сыры",500,700
"2019-12-31",1,"A1",7,"сыр мягкий",150,500
"2019-12-31",1,"A2",8,"сыр мягкий",450,500
"2019-12-31",1,"A1",9,"сыр мягкий",450,500
"2019-12-31",1,"A3",10,"сыр мягкий",50,500
"2019-12-31",1,"A1",11,"продукты сырные",200,400
"2019-12-31",1,"A3",12,"сыр твердый",400,1000
"2019-12-31",1,"A1",13,"сыр полутвердый",400,600
"2019-12-31",1,"A4",14,"сыр мягкий",400,525
"2019-12-31",1,"A1",15,"сыр полутвердый",50,600
"2019-12-31",1,"A1",16,"продукты сырные",450,400
"2019-12-31",1,"A2",17,"сыр твердый",100,1000
"2019-12-31",1,"A5",18,"продукты сырные",0,380
"2019-12-31",1,"A1",19,"сыр полутвердый",500,600
"2019-12-31",1,"A1",20,"сыр полутвердый",500,600
"2019-12-31",1,"A1",21,"сыр мягкий",350,500
"2019-12-31",1,"A2",22,"сыр полутвердый",350,600
"2019-12-31",1,"A5",23,"сыр твердый",500,950
"2019-12-31",1,"A1",24,"сыр полутвердый",0,600
"2019-12-31",1,"A3",25,"прочие сыры",300,700
"2019-12-31",1,"A4",26,"сыр твердый",300,1050
"2019-12-31",1,"A3",27,"прочие сыры",350,700
"2019-12-31",1,"A1",28,"продукты сырные",0,400
"2019-12-31",1,"A1",29,"сыр мягкий",400,500
"2019-12-31",1,"A2",30,"продукты сырные",200,400
"2019-12-31",1,"A1",31,"сыр мягкий",250,500
"2019-12-31",1,"A1",32,"сыр твердый",500,1000
"2019-12-31",1,"A1",33,"продукты сырные",250,400
"2019-12-31",1,"A5",34,"сыр полутвердый",450,570
"2019-12-31",1,"A2",35,"сыр твердый",500,1000
"2019-12-31",1,"A2",36,"сыр мягкий",300,500
"2019-12-31",1,"A1",37,"прочие сыры",50,700
"2019-12-31",1,"A1",38,"прочие сыры",450,700
"2019-12-31",1,"A2",39,"сыр полутвердый",150,600
"2019-12-31",1,"A1",40,"сыр полутвердый",350,600
"2019-12-31",1,"A5",41,"прочие сыры",200,665
"2019-12-31",1,"A5",42,"прочие сыры",0,665
"2019-12-31",1,"A1",43,"сыр полутвердый",350,600
"2019-12-31",1,"A1",44,"сыр полутвердый",0,600
"2019-12-31",1,"A1",45,"сыр мягкий",150,500
"2019-12-31",1,"A1",46,"прочие сыры",450,700
"2019-12-31",1,"A4",47,"сыр мягкий",350,525
"2019-12-31",1,"A3",48,"продукты сырные",500,400
"2019-12-31",1,"A1",49,"сыр полутвердый",400,600
"2019-12-31",1,"A1",50,"сыр мягкий",350,500
"2019-12-31",1,"A1",51,"продукты сырные",150,400
"2019-12-31",1,"A1",52,"сыр мягкий",50,500
"2019-12-31",1,"A1",53,"сыр полутвердый",100,600
"2019-12-31",1,"A2",54,"сыр полутвердый",400,600
"2019-12-31",1,"A3",55,"продукты сырные",150,400
"2019-12-31",1,"A3",56,"прочие сыры",350,700
"2019-12-31",1,"A1",57,"сыр полутвердый",150,600
"2019-12-31",1,"A2",58,"сыр твердый",300,1000
"2019-12-31",1,"A5",59,"сыр мягкий",100,475
"2019-12-31",1,"A1",60,"продукты сырные",50,400
"2019-12-31",1,"A2",61,"сыр мягкий",100,500
"2019-12-31",1,"A1",62,"сыр твердый",50,1000
"2019-12-31",1,"A4",63,"сыр полутвердый",400,630
"2019-12-31",1,"A2",64,"сыр мягкий",300,500
"2019-12-31",1,"A1",65,"продукты сырные",350,400
"2019-12-31",1,"A4",66,"сыр полутвердый",350,630
"2019-12-31",1,"A1",67,"прочие сыры",300,700
"2019-12-31",1,"A2",68,"продукты сырные",200,400
"2019-12-31",1,"A1",69,"прочие сыры",0,700
"2019-12-31",1,"A2",70,"продукты сырные",150,400
"2019-12-31",1,"A1",71,"сыр мягкий",250,500
"2019-12-31",1,"A1",72,"сыр твердый",250,1000
"2019-12-31",1,"A1",73,"продукты сырные",300,400
"2019-12-31",1,"A2",74,"сыр полутвердый",500,600
"2019-12-31",1,"A2",75,"продукты сырные",450,400
"2019-12-31",1,"A1",76,"сыр твердый",150,1000
"2019-12-31",1,"A2",77,"продукты сырные",400,400
"2019-12-31",1,"A1",78,"сыр твердый",400,1000
"2019-12-31",1,"A4",79,"сыр твердый",350,1050
"2019-12-31",1,"A2",80,"сыр твердый",0,1000
"2019-12-31",1,"A1",81,"сыр твердый",200,1000
"2019-12-31",1,"A2",82,"прочие сыры",350,700
"2019-12-31",1,"A3",83,"сыр полутвердый",200,600
"2019-12-31",1,"A1",84,"продукты сырные",500,400
"2019-12-31",1,"A1",85,"сыр мягкий",300,500
"2019-12-31",1,"A1",86,"прочие сыры",250,700
"2019-12-31",1,"A2",87,"сыр твердый",0,1000
"2019-12-31",1,"A5",88,"сыр мягкий",0,475
"2019-12-31",1,"A1",89,"продукты сырные",450,400
"2019-12-31",1,"A5",90,"сыр твердый",450,950
"2019-12-31",1,"A5",91,"сыр твердый",50,950
"2019-12-31",1,"A3",92,"прочие сыры",200,700
"2019-12-31",1,"A5",93,"сыр твердый",200,950
"2019-12-31",1,"A2",94,"сыр твердый",0,1000
"2019-12-31",1,"A2",95,"сыр полутвердый",500,600
"2019-12-31",1,"A3",96,"продукты сырные",200,400
"2019-12-31",1,"A4",97,"сыр мягкий",350,525
"2019-12-31",1,"A4",98,"сыр твердый",0,1050
"2019-12-31",1,"A1",99,"сыр полутвердый",300,600
"2019-12-31",1,"A4",100,"сыр мягкий",300,525
"2019-12-31",1,"A1",101,"продукты сырные",300,400
"2019-12-31",1,"A2",102,"прочие сыры",50,700
"2019-12-31",1,"A2",103,"сыр твердый",350,1000
"2019-12-31",1,"A2",104,"прочие сыры",50,700
"2019-12-31",1,"A3",105,"сыр мягкий",0,500
"2019-12-31",1,"A3",106,"продукты сырные",250,400
"2019-12-31",1,"A5",107,"сыр мягкий",300,475
"2019-12-31",1,"A3",108,"сыр мягкий",400,500
"2019-12-31",1,"A2",109,"прочие сыры",50,700
"2019-12-31",1,"A1",110,"сыр твердый",400,1000
"2019-12-31",1,"A2",111,"сыр полутвердый",200,600
"2019-12-31",1,"A1",112,"прочие сыры",50,700
"2019-12-31",1,"A3",113,"прочие сыры",400,700
"2019-12-31",1,"A4",114,"сыр мягкий",0,525
"2019-12-31",1,"A3",115,"продукты сырные",200,400
"2019-12-31",1,"A1",116,"прочие сыры",100,700
